# Flageul, Benhamadouche, Lamballais & Laurence, IJHFF 55 (2015) 34-44,
# figure 5a, the isoQ (green x) case.  Re_tau = 149, Pr = 0.71.
# Digitised by digitize_flageul.py and cross-validated against the same
# series in panel 5b: max 0.209, rms 0.048 in <T'^2>.
# y+   <T'^2>/T_tau^2
4.74721 4.65918
4.77101 4.65859
4.79492 4.65799
4.81896 4.6574
4.84312 4.63952
4.86739 4.63881
4.89179 4.65562
4.91631 4.68028
4.94096 4.71726
4.96572 4.77889
4.99062 4.78428
5.01563 4.78659
5.04077 4.81125
5.06604 4.79109
5.09144 4.78304
5.11696 4.78245
5.14261 4.78185
5.16839 4.78126
5.19429 4.78067
5.22033 4.78008
5.2465 4.77948
5.2728 4.77889
5.29923 4.7783
5.32579 4.77771
5.35249 4.77711
5.37932 4.76418
5.40629 4.75424
5.43339 4.7932
5.46062 4.84104
5.48799 4.89959
5.5155 4.90216
5.54315 4.88535
5.57094 4.87371
5.59886 4.87312
5.62693 4.87253
5.65514 4.87193
5.68348 4.87134
5.71197 4.87075
5.7406 4.87016
5.76938 4.86956
5.7983 4.86897
5.82737 4.86838
5.85658 4.86778
5.88593 4.86719
5.91544 4.90821
5.94509 4.92197
5.97489 4.92197
6.00484 4.94127
6.03494 4.95544
6.06519 5.00539
6.0956 5.00385
6.12615 5.00231
6.15686 5.00077
6.18772 4.99923
6.21874 4.99769
6.24991 4.99615
6.28124 4.99461
6.31273 4.99307
6.34437 4.99153
6.37618 5.04533
6.40814 5.06454
6.44026 5.06157
6.47254 5.05834
6.50499 5.05547
6.5376 5.05239
6.57037 5.04972
6.6033 5.09476
6.6364 5.12327
6.66967 5.12173
6.7031 5.12018
6.7367 5.11864
6.77047 5.1171
6.80441 5.11556
6.83852 5.16795
6.8728 5.18567
6.90725 5.20069
6.94187 5.19954
6.97667 5.19906
7.01164 5.19847
7.04679 5.19547
7.08211 5.19106
7.11761 5.18914
7.15329 5.20621
7.18915 5.25462
7.22519 5.25334
7.2614 5.25205
7.2978 5.25077
7.33439 5.29362
7.37115 5.30912
7.4081 5.30776
7.44523 5.30614
7.48256 5.30387
7.52006 5.30277
7.55776 5.30337
7.59564 5.30123
7.63372 5.2996
7.67198 5.29824
7.71044 5.31385
7.74909 5.35552
7.78794 5.38033
7.82697 5.41469
7.86621 5.41428
7.90564 5.41388
7.94527 5.41347
7.9851 5.41018
8.02512 5.40871
8.06535 5.40967
8.10578 5.41063
8.14641 5.41108
8.18725 5.41104
8.22829 5.41063
8.26953 5.44838
8.31099 5.52003
8.35265 5.54417
8.39452 5.54417
8.4366 5.54417
8.47889 5.54342
8.52139 5.5416
8.5641 5.54314
8.60703 5.54468
8.65018 5.54622
8.69354 5.54477
8.73712 5.54417
8.78091 5.59955
8.82493 5.6131
8.86917 5.62903
8.91362 5.67136
8.9583 5.67095
9.00321 5.67043
9.04834 5.66968
9.0937 5.67065
9.13928 5.67161
9.18509 5.67257
9.23114 5.66958
9.27741 5.71623
9.32391 5.72773
9.37065 5.72681
9.41762 5.72589
9.46483 5.75915
9.51228 5.78043
9.55996 5.77953
9.60788 5.77838
9.65604 5.77889
9.70444 5.7794
9.75309 5.797
9.80198 5.81927
9.85111 5.81799
9.90049 5.81671
9.95012 5.81542
10 5.81414
10.0501 5.84322
10.1005 5.85988
10.1511 5.85527
10.202 5.85527
10.2532 5.87577
10.3046 5.90447
10.3562 5.90003
10.4081 5.89746
10.4603 5.89489
10.5127 5.89233
10.5654 5.88976
10.6184 5.91586
10.6716 5.95047
10.7251 5.94755
10.7789 5.98896
10.8329 5.99829
10.8872 5.99331
10.9418 5.99047
10.9966 5.98763
11.0518 5.98479
11.1071 5.98196
11.1628 5.97912
11.2188 6.00433
11.275 6.06613
11.3315 6.10291
11.3883 6.09197
11.4454 6.08588
11.5028 6.08271
11.5605 6.07953
11.6184 6.07636
11.6766 6.07319
11.7352 6.07002
11.794 6.09733
11.8531 6.16371
11.9125 6.16275
11.9723 6.15794
12.0323 6.15064
12.0926 6.14861
12.1532 6.14658
12.2141 6.14455
12.2753 6.14253
12.3369 6.16234
12.3987 6.16894
12.4609 6.19686
12.5233 6.21315
12.5861 6.21315
12.6492 6.20724
12.7126 6.20416
12.7763 6.20521
12.8404 6.21011
12.9047 6.22342
12.9694 6.22342
13.0344 6.23288
13.0998 6.25924
